Descrizione Breve,Anno di Scoperta,Descrizione Lunga,Nome Inventore,Paese
 Philosophiae Naturalis Principia Mathematica di Newton,1687,Isaac Newton pubblica i Philosophiae Naturalis Principia Mathematica,,
Divorzio di velluto tra Repubblica Ceca e Slovacchia,1993,Divorzio di velluto tra Repubblica Ceca e Slovacchia,,
La montagna incantata di Thomas Mann,1924,Romanzo filosofico che riflette sulle crisi del tempo,Thomas Mann,Germania
Le Fables di Jean de La Fontaine,1668,Collezione di poesie che illustra la condotta umana,Jean de La Fontaine,Francia
Pamela di Samuel Richardson,1740,Romanzo che ha influenzato la narrativa epistolare,Samuel Richardson,Inghilterra
Abdicazione di Napoleone e esilio all'Elba,1814,Abdicazione di Napoleone e esilio all'Elba,,
Abolizione del Califfato da parte di Kemal Atatürk,1924,Abolizione del Califfato da parte di Kemal Atatürk,,
Abolizione della monarchia in Nepal,2008,Abolizione della monarchia in Nepal,,
Abolizione della servitù della gleba in Russia,1861,Abolizione della servitù della gleba in Russia,,
Accordo di Monaco,1938,Accordo di Monaco che cedette la Cecoslovacchia alla Germania nazista,,
Addomesticamento di capre e cani nel Medio Oriente,-10000,Addomesticamento di capre e cani nel Medio Oriente,,
Angela Merkel Cancelliere della Germania,2005,Angela Merkel divenne la prima donna Cancelliere della Germania,,
Apertura del Canale di Panama,1914,Apertura del Canale di Panama,,
Apertura del Royal Albert Hall a Londra,1871,Apertura del Royal Albert Hall a Londra,,
Apertura del Tunnel della Manica,1994,Apertura del Tunnel della Manica,,
Ascesa dell'Impero Persiano,-653,Ascesa dell'Impero Persiano,,
Aspirina,1897,L'aspirina,Felix Hoffmann,Germania
Assasinio di Abraham Lincoln,1865,"Il Presidente degli Stati Uniti, Abraham Lincoln, fu assassinato",,
Assassinio dell'Arciduca Franz Ferdinand d'Austria a Sarajevo,1914,"Gavrilo Princip assassinò l'Arciduca Franz Ferdinand d'Austria a Sarajevo, innescando la Prima Guerra Mondiale",,
Assassinio di John F Kennedy,1963,Assassinio di John F Kennedy,,
Assassinio di Martin Luther King Jr e Robert F Kennedy ,1968,Martin Luther King Jr e Robert F Kennedy furono assassinati durante la Campagna dei Poveri,,
Attacchi terroristici 11 settembre ,2001,"Attacchi terroristici distrussero il World Trade Center a New York e danneggiarono il Pentagono a Washington, DC",,
Attacco a Pearl Harbor,1941,Attacco a Pearl Harbor che costrinse gli USA ad entrare nella Seconda Guerra Mondiale,,
Battaglia del fiume Idaspe,-326,"Nella battaglia del fiume Idaspe, Alessandro Magno sconfigge il re indiano Porus",,
Battaglia del Kosovo,1389,Battaglia del Kosovo,,
Battaglia di Ain Jalut,1260,Mongoli fermati dai Mamelucchi,Saif ad-Din Qutuz,Mongolia/Mamelucchi
Battaglia di Austerlitz,1805,"Nella battaglia di Austerlitz, Napoleone sconfigge esercito austro-russo",,
Battaglia di Azio,-31,"Ottaviano diventa Augusto, primo imperatore",Augusto,Impero Romano
Battaglia di Berlino,1945,Battaglia di Berlino,,
Battaglia di Cheronea,-338,"Nella battaglia di Cheronea, il re Filippo II sconfigge le forze combinate delle città-stato greche Atene e Tebe",,
Battaglia di Gaugamela,-331,"Nella battaglia di Gaugamela, Alessandro Magno sconfigge Dario III di Persia",,
Battaglia di Hastings,1066,"Normanni vincono, influenzano l'Inghilterra",Guglielmo il Conquistatore,Inghilterra
Battaglia di Lepanto,1571,"Battaglia navale, vittoria su Ottomani",Don Giovanni d'Austria,Mediterraneo
Battaglia di Maratona,-490,Battaglia cruciale nella prima guerra persiana,Milziade,Grecia
Battaglia di Maratona,-490,Battaglia di Maratona,,
Battaglia di Poltava,1709,Decisiva vittoria russa su Svezia,Pietro il Grande,Russia
Battaglia di Stalingrado,1943,Battaglia di Stalingrado terminò con oltre due milioni di vittime e la ritirata dell'esercito tedesco,,
Battaglia di Waterloo,1815,Sconfitta di Napoleone e fine delle Guerre Napoleoniche,Napoleone Bonaparte,Francia
Bombardamenti atomici di Hiroshima e Nagasaki,1945,Bombe atomiche segnano la fine della Seconda Guerra Mondiale,Harry S Truman,Giappone
Boris Yeltsin Presidente della Federazione Russa,1991,Boris Yeltsin divenne il primo Presidente della Federazione Russa,,
Caduta del Muro di Berlino,1989,Caduta del Muro di Berlino,,
Caduta dell'Impero Romano,476,Fine dell'Impero Romano d'Occidente e inizio Medioevo,Romolo Augustolo,Impero Romano
Caduta di Costantinopoli,1453,"Caduta della città ai Turchi, fine dell'Impero Bizantino",Mehmed II,Impero Bizantino
Caduta di Granada,1492,Fine del regno musulmano in Spagna,Boabdil,Spagna
Calcolatrice,1642,"Strumento per eseguire calcoli matematici, dalla semplice addizione alla complessa programmazione",Blaise Pascal,Francia
Calcolo Differenziale,1684,Fondamentale branca della matematica sviluppata per studiare tassi di variazione,"Isaac Newton, Gottfried Wilhelm Leibniz","Regno Unito, Germania"
Carestia irlandese delle patate che portò alla diaspora irlandese,1845,Carestia irlandese delle patate che portò alla diaspora irlandese,,
CD-ROM,1982,Supporto di memorizzazione ottico utilizzato per archiviare dati in formato digitale,"Sony, Philips","Giappone, Paesi Bassi"
Cerniera lampo,1893,Dispositivo di chiusura utilizzato in abbigliamento e borse,Whitcomb L Judson,Stati Uniti
Cerotto,1920,Fasciatura adesiva per piccole ferite,Earle Dickson,Stati Uniti
Chip RFID,1983,"Tecnologia per l'identificazione automatica di oggetti, animali o persone",Charles Walton,Stati Uniti
Chitarra elettrica,1931,Strumento musicale che utilizza pickup per convertire la vibrazione delle corde in segnali elettrici,George Beauchamp,Stati Uniti
Circuito integrato,1958,Microcircuiti elettronici su un piccolo pezzo di materiale semiconduttore,"Jack Kilby, Robert Noyce",Stati Uniti
Civiltà della Valle dell'Indo,-2600,Civiltà della Valle dell'Indo,,
Codice binario,1689,Sistema di rappresentazione di testi o istruzioni in forma di 0 e 1,Gottfried Wilhelm Leibniz,Germania
Codice di Hammurabi,-1750,Primo codice di leggi scritte,Hammurabi,Babilonia
Comparsa della scrittura alfabetica,-1800,Comparve la scrittura alfabetica,,
Composizione del Poema di Gilgamesh,-2100,Antico poema epico mesopotamico,Autore sconosciuto,Mesopotamia
Composizione dell'Iliade,-800,Uno dei primi poemi epici della storia,Omero,Grecia
Computer,1946,Macchine elettroniche programmabili per elaborare dati e eseguire calcoli complessi,"John Presper Eckert, John W Mauchly",Stati Uniti
Concilio di Nicea,325,Primo concilio che definì uniformità nella cristianità,Costantino il Grande,Impero Romano
Conferenza di Berlino,1884,Regolamentazione coloniale dell'Africa,Potenze coloniali,Africa
Conferenza di Bretton Woods,1944,Sistema finanziario post-seconda guerra mondiale,Leader mondiali,Internazionale
Conferenza di Potsdam divise l'Europa in blocchi ,1945,La Conferenza di Potsdam (Seconda Guerra Mondiale) divise l'Europa in blocchi occidentali e sovietici,,
Conferenza di Teheran ,1943,"Conferenza di Teheran con la partecipazione di Franklin Roosevelt, Winston Churchill e Joseph Stalin; tutti concordarono di avviare l'Operazione Overlord",,
Conferenza di Yalta,1945,Conferenza di Yalta,,
Conquista cinese del Regno di Tungning e annessione Taiwan,1683,La Cina conquistò il Regno di Tungning e annesse Taiwan,,
Conquista di Costantinopoli,1453,Fine dell'Impero Romano d'Oriente,Mehmed II,Impero Bizantino
Contratto Gran Bretagna-Cina su Hong Kong,1898,La Gran Bretagna ottenne un contratto di locazione di 99 anni su Hong Kong dalla Cina,,
Coronazione di Carlo Magno,800,Fondazione Sacro Romano Impero,Carlo Magno,Sacro Romano Impero
Costruzione dell'Empire State Building,1931,Costruzione dell'Empire State Building,,
Creazione del Codice Atlantico,1487,Raccolta di disegni e scritti di Leonardo da Vinci,Leonardo da Vinci,Italia
Creazione dell'arte concettuale,1960,Movimento artistico che privilegia l'idea sull'oggetto,Artisti vari,Internazionale
Creazione della Cappella Sistina,1512,Capolavoro di Michelangelo nella Città del Vaticano,Michelangelo,Italia
Creazione della NATO,1949,Creazione della NATO (Organizzazione del Trattato dell'Atlantico del Nord),,
Creazione di Topolino,1928,Creazione di Topolino (Mickey Mouse) ai Walt Disney Studios,,
Creazione tavola di Mendeleev,1869,Dmitri Mendeleev creò la tavola periodica,,
Crisi dei missili di Cuba,1962,Crisi dei missili di Cuba,,
Crollo dei mercati azionari in tutto il mondo,2008,Crollo dei mercati azionari in tutto il mondo,,
Crollo di Wall Street del 1929 e inizio della Grande Depressione,1929,Crollo di Wall Street del 1929 e inizio della Grande Depressione,,
D-Day ,1944,D-Day (termini militari associati all'invasione della Normandia),,
Dichiarazione Balfour,1917,Sostegno britannico per una casa ebraica,Arthur James Balfour,Palestina
Dichiarazione d'indipendenza Americana del 4 luglio,1776,"Negli USA, seconda riunione del Congresso Continentale e dichiarazione d'indipendenza il 4 luglio",,
Dichiarazione d'indipendenza degli USA,1776,Le 13 colonie dichiarano indipendenza dalla Gran Bretagna,Thomas Jefferson,Stati Uniti d'America
Dichiarazione della Dottrina Monroe,1823,Dichiarazione della Dottrina Monroe dal Presidente USA James Monroe,,
Dinastia Sui in Cina,581,Dinastia Sui in Cina,,
Disastro di Chernobyl,1986,Disastri di Chernobyl,,
Dissoluzione dell'Unione Sovietica ,1991,Dissoluzione dell'Unione Sovietica e conseguente indipendenza di 15 ex repubbliche sovietiche,,
Divisione della Corea del Nord e della Corea del Sud,1948,Divisione della Corea del Nord e della Corea del Sud,,
DNA a doppia elica,1953,"Scoperta della struttura a doppia elica del DNA, fondamentale per la genetica","James Watson, Francis Crick",Regno Unito
E=mc² ,1905,Formula che mostra la relazione tra massa ed energia,Albert Einstein,Germania
Editoria elettronica,1980,Tecnologia per la pubblicazione di contenuti attraverso mezzi elettronici,Varie aziende,Internazionale
Editto di Milano,313,Editto che proclamò tolleranza religiosa nell'Impero Romano,Costantino il Grande,Impero Romano
Editto di Nantes,1598,Tolleranza ufficiale per Ugonotti,Enrico IV di Francia,Francia
Elezione di Franklin D Roosevelt a Presidente degli Stati Uniti,1932,Elezione di Franklin D Roosevelt a Presidente degli Stati Uniti,,
Elezione di Nelson Mandela,1994,Fine dell'apartheid in Sudafrica e successiva elezione di Nelson Mandela,,
Ellen Johnson Sirleaf Presidente della Liberia,2006,"Ellen Johnson Sirleaf è diventata Presidente della Liberia, la prima donna eletta capo di stato in Africa",,
Emergenza dei sedici Maha Janapadas in India,-600,Emergenza dei sedici Maha Janapadas in India,,
Eruzione del Vesuvio che distrusse Pompei,79,Eruzione del Vesuvio che distrusse Pompei e altre città (in Italia),,
Esecuzione di Saddam Hussein,2006,Esecuzione di Saddam Hussein,,
Età del ferro,-2000,Età del ferro,,
Evoluzione della civiltà sumera tra i fiumi Eufrate e Tigri,-5000,Evoluzione della civiltà sumera tra i fiumi Eufrate e Tigri,,
Fantascienza,1920,Genere letterario basato su impatti ipotetici di scienza e tecnologia sul futuro,Varie figure letterarie,Internazionale
Febbre dell'oro,1848,Febbre dell'oro in California,,
Fibra ottica,1956,Tecnologia per trasmettere dati sotto forma di impulsi di luce,Narinder Singh Kapany,Stati Uniti
"Filippo II assunse Aristotele come tutore di suo figlio, Alessandro",-337,"Filippo II creò una forte e unificata nazione in Macedonia e assunse Aristotele come tutore di suo figlio, Alessandro",,
Filippo II fu assassinato e Alessandro divenne re,-336,Filippo II fu assassinato e Alessandro divenne re,,
Fine dell'Impero Cinese e istituzione della Repubblica di Cina,1912,Fine dell'Impero Cinese e istituzione della Repubblica di Cina,,
Fine della Civiltà della Valle dell'Indo,-1700,Fine della Civiltà della Valle dell'Indo,,
Fine della Guerra del Golfo,1991,Fine della Guerra del Golfo dopo il ritiro degli USA e il fallimento della rivolta,,
Fine della Guerra in Iraq,2011,Fine della Guerra in Iraq,,
Fine della Prima Guerra Mondiale,1918,Fine della Prima Guerra Mondiale,,
Fine della Seconda Guerra Mondiale ,1945,Fine della Seconda Guerra Mondiale in Europa; conclusione dell'Olocausto con circa 12 milioni di morti,,
Firma della Magna Carta,1215,Limita il potere regale e basi del diritto costituzionale,Re Giovanni d'Inghilterra,Inghilterra
Firmato il Patto di Varsavia,1955,Firmato il Patto di Varsavia,,
Fondazione Città del Capo ,1652,La Compagnia olandese delle Indie orientali fondò la città di Città del Capo in Sudafrica,,
Fondazione del Dadaismo,1916,Movimento artistico che ha rifiutato le convenzioni,Tristan Tzara,Svizzera
"Fondazione del primo Parco Nazionale, il Yellowstone",1872,"Fondazione del primo Parco Nazionale, il Yellowstone",,
Fondazione del primo raffineria di petrolio al mondo in Romania,1856,Fondazione del primo raffineria di petrolio al mondo in Romania,,
Fondazione dell'Università di Cambridge,1209,Fondazione dell'Università di Cambridge,,
Fondazione dell'Università di Harvard ,1636,"Fondazione dell'Università di Harvard a Cambridge, Massachusetts, USA",,
Fondazione dell'Università di Oxford,1117,Fondazione dell'Università di Oxford,,
Fondazione dell'Università di Parigi,1150,Fondazione dell'Università di Parigi,,
Fondazione della Banca d'Inghilterra,1694,Fondazione della Banca d'Inghilterra,,
Fondazione della banca Medici a Firenze,1397,Fondazione della banca Medici a Firenze,,
Fondazione della Bauhaus,1919,Scuola di design che ha influenzato l'architettura moderna,Walter Gropius,Germania
Fondazione della città di Boston,1632,Fondazione della città di Boston,,
Fondazione della Corte Internazionale di Giustizia all'Aia,1920,Fondazione della Corte Internazionale di Giustizia all'Aia nei Paesi Bassi,,
"Fondazione della Nuova Zelanda, con la firma del Trattato di Waitangi tra Māori e britannici",1840,"Fondazione della Nuova Zelanda, con la firma del Trattato di Waitangi tra Māori e britannici",,
Fondazione della Repubblica Popolare Cinese,1949,Fondazione della Repubblica Popolare Cinese sotto la guida di Mao Zedong,,
Fondazione della Società delle Nazioni a Parigi,1919,Fondazione della Società delle Nazioni a Parigi,,
Fondazione delle Nazioni Unite,1945,Fondazione delle Nazioni Unite,,
Fondazione di Baghdad,762,Baghdad diventa capitale islamica,Califfo al-Mansur,Califfato Abbaside
Fondazione di Cartagine,-814,Fondazione della città fenicia di Cartagine,Dido,Cartagine
Fondazione di Google,1998,Fondazione di Google da parte di Larry Page e Sergey Brin,,
Fondazione di Roma,-753,La città di Roma fu fondata da Romolo,,
Fondazione di Wikipedia,2001,Fondazione di Wikipedia,,
Fondazione Università Imperiale della Cina,-124,Fu fondata l'Università Imperiale della Cina,,
Fotografia,1826,Processo di cattura di immagini permanenti attraverso l'azione della luce,Joseph Nicéphore Niépce,Francia
Frigorifero,1913,Frigorifero,Fred W Wolf,Stati Uniti
Gesù Cristo crocifisso,29,Gesù Cristo crocifisso,,
Giovanni d'Inghilterra sigilla la Magna Carta,1215,Giovanni d'Inghilterra sigilla la Magna Carta,,
Gli eserciti di Tito distrussero Gerusalemme,70,Gli eserciti di Tito distrussero Gerusalemme,,
Gli schiavi liberati da Londra fondarono Freetown (Sierra Leone),1787,"Gli schiavi liberati da Londra fondarono Freetown (Africa Occidentale), l'odierna Sierra Leone",,
Gli Stati Uniti e Cuba ripresero le relazioni diplomatiche,2015,Gli Stati Uniti e Cuba ripresero le relazioni diplomatiche,,
Gli Stati Uniti si unirono agli Alleati per la Prima Guerra Mondiale,1917,Gli Stati Uniti si unirono agli Alleati (paesi) per gli ultimi 17 mesi della Prima Guerra Mondiale,,
GPS,1973,Sistema di navigazione satellitare che fornisce posizione e orario in qualsiasi condizione atmosferica,Dipartimento della Difesa degli Stati Uniti,Stati Uniti
Grande Piramide di Cholula costruita,-300,Grande Piramide di Cholula costruita,,
Grande Piramide di Giza,-2560,Grande Piramide di Giza,,
Guerra di Crimea,1854,Guerra di Crimea (combattuta tra Russia e Turchia),,
Guerra russo-giapponese,1904,Guerra russo-giapponese,,
Guerra sino-indiana,1962,Guerra sino-indiana,,
Guerre greco-persiane,-499,Guerre greco-persiane,,
Haiti raggiunge l'indipendenza dalla Francia ,1804,Haiti raggiunge l'indipendenza dalla Francia ,,
Hawaii diventa territorio ufficiale degli USA,1900,Hawaii diventa territorio ufficiale degli USA,,
Hitler Cancelliere della Germania,1933,Adolf Hitler divenne Cancelliere della Germania,,
Hitler Führer del Partito Nazista,1921,"Adolf Hitler divenne il Führer (guida, leader) del Partito Nazista",,
Hitler invade l'Unione Sovietica,1941,Hitler invade l'Unione Sovietica,,
HTML,1993,Linguaggio di markup standard per la creazione di pagine web,Tim Berners-Lee,Regno Unito
I coloni spagnoli fondarono la città di Los Angeles,1781,I coloni spagnoli fondarono la città di Los Angeles,,
I dolori del giovane Werther,1774,Romanzo epistolare che ha ispirato il movimento Sturm und Drang,Johann Wolfgang von Goethe,Germania
I primi matite di grafite furono usate,1795,I primi matite di grafite furono usate,,
I primi soldi di carta furono emessi negli Stati Uniti,1862,I primi soldi di carta furono emessi negli Stati Uniti,,
Il Canale di Suez collegò il Mar Mediterraneo al Mar Rosso,1869,Il Canale di Suez collegò il Mar Mediterraneo al Mar Rosso,,
Il Canzoniere di Petrarca,1336,Raccolta di poesie che ha segnato la lirica amorosa,Francesco Petrarca,Italia
"Il Corano, il libro sacro, fu pubblicato per la prima volta",660,"Il Corano, il libro sacro, fu pubblicato per la prima volta",,
Il Federal Bureau of Investigation degli USA fu istituito sotto J Edgar Hoover,1924,Il Federal Bureau of Investigation degli USA fu istituito sotto J Edgar Hoover,,
Il Giappone invade la Cina,1937,Il Giappone invade la Cina,,
Il Giappone invade la Manciuria (Cina),1931,Il Giappone invade la Manciuria (Cina) e la occupa fino alla fine della Seconda Guerra Mondiale,,
Il governo tedesco iniziò il primo schema pensionistico pubblico per anziani,1891,Il governo tedesco iniziò il primo schema pensionistico pubblico per anziani,,
Il Grande Incendio di Londra,1666,Il Grande Incendio di Londra,,
"Il grattacielo più alto del mondo, il Burj Khalifa (a Dubai), è stato costruito",2009,"Il grattacielo più alto del mondo, il Burj Khalifa (a Dubai), è stato costruito",,
Il partito nazista divenne il più grande partito singolo nel parlamento tedesco,1932,Il partito nazista divenne il più grande partito singolo nel parlamento tedesco,,
Il più antico noto match di cricket di prima classe si tenne nel Sussex,1697,Il più antico noto match di cricket di prima classe si tenne nel Sussex,,
Il più grande sversamento di petrolio nella storia,2010,Il più grande sversamento di petrolio nella storia degli Stati Uniti si verificò nel Golfo del Messico,,
Il primo pozzo petrolifero di successo fu perforato nel nord della Pennsylvania (USA),1859,Il primo pozzo petrolifero di successo fu perforato nel nord della Pennsylvania (USA),,
Il primo sito web è stato messo online e reso disponibile al pubblico,1991,Il primo sito web è stato messo online e reso disponibile al pubblico,,
Il Primo Tempio di Gerusalemme (Tempio di Salomone) fu distrutto dai Babilonesi,-586,Il Primo Tempio di Gerusalemme (Tempio di Salomone) fu distrutto dai Babilonesi,,
Il Regno Unito di Gran Bretagna e Irlanda ,1927,Il Regno Unito di Gran Bretagna e Irlanda divenne ufficialmente il Regno Unito di Gran Bretagna e Irlanda del Nord,,
Il Trattato di Maastricht creò l'Unione Europea,1992,Il Trattato di Maastricht creò l'Unione Europea,,
Il Trattato di Versailles ridisegnò i confini europei,1919,Il Trattato di Versailles ridisegnò i confini europei,,
Implementazione del sistema di ora legale,1916,Implementazione del sistema di ora legale,,
In Cina inizia la dinastia Zhou,-1027,In Cina inizia la dinastia Zhou,,
In Francia viene completato un'enciclopedia,1765,In Francia viene completato un'enciclopedia di ventotto volumi,,
Inaugurazione della Torre Eiffel a Parigi,1889,Inaugurazione della Torre Eiffel a Parigi,,
Indipendenza dell'India,1947,Fine del dominio britannico sull'India,Mahatma Gandhi,India
Inizio dei Tre Regni in Cina,220,"Dopo la caduta della dinastia Han, iniziò il periodo dei Tre Regni in Cina",,
Inizio dell'agricoltura stanziale,-9500,Inizio dell'agricoltura stanziale,,
Inizio dell'apartheid in Sudafrica,1948,Inizio dell'apartheid in Sudafrica,,
Inizio dell'arte digitale,1960,Nuove forme espressive tramite la tecnologia,Artisti vari,Internazionale
Inizio dell'era spaziale con il lancio dello Sputnik I,1957,Inizio dell'era spaziale con il lancio dello Sputnik I,,
Inizio della costruzione del Canale di Suez,1859,Inizio della costruzione del Canale di Suez,,
Inizio della costruzione del Taj Mahal,1632,"Maestoso mausoleo in India, capolavoro dell'arte islamica",Shah Jahan,India
Inizio della costruzione della Torre di Londra,1077,Inizio della costruzione della Torre di Londra,,
Inizio della Guerra del Golfo,1990,Inizio della Guerra del Golfo,,
Inizio della Guerra in Iraq ,2003,Inizio della Guerra in Iraq che ha scatenato proteste in tutto il mondo,,
Inizio della Prima Guerra Balcanica,1912,Inizio della Prima Guerra Balcanica,,
Inizio della Prima Guerra Mondiale,1914,Assassinio di Ferdinando scatena la Grande Guerra,Francesco Ferdinando d'Austria,Austria-Ungheria
Inizio della Rivoluzione Francese,1789,Presa della Bastiglia e inizio della caduta della monarchia,Luigi XVI di Francia,Francia
Inizio della Rivoluzione Verde,1943,Inizio della Rivoluzione Verde,,
Inizio Guerra Civile Americana ,1861,Iniziò la Guerra Civile Americana tra l'Unione e i Confederati secessionisti,,
Inizio inastia Han in Cina,-206,"Dopo la morte di Qin Shi Huang, fu stabilita la dinastia Han in Cina",,
Insulina,1921,"Ormone utilizzato per trattare il diabete, essenziale per la regolazione della glicemia","Frederick Banting, Charles Best",Canada
Insurrezione cecena ,1944,Insurrezione cecena terminata con la deportazione dell'intera popolazione cecena,,
Internet,1960,Rete globale di computer che ha rivoluzionato la comunicazione e l'accesso alle informazioni,"Vint Cerf, Bob Kahn",Stati Uniti
Introduzione del primo computer elettronico,1944,"Introduzione del primo computer elettronico operativo, Colossus",,
Introduzione dell'Euro,1999,Introduzione dell'Euro,,
Introduzione della democrazia ad Atene,-508,Introduzione della democrazia ad Atene,,
Invasione napoleonica e partizione della Repubblica di Venezia,1797,Invasione napoleonica e partizione della Repubblica di Venezia che terminarono oltre 1000 anni di indipendenza della Serenissima,,
Invasione nazista della Polonia ,1939,Invasione nazista della Polonia che innescò l'inizio della Seconda Guerra Mondiale,,
"Invasione nazista di Francia, Paesi Bassi, Danimarca e Norvegia",1940,"Invasione nazista di Francia, Paesi Bassi, Danimarca e Norvegia",,
Invenzione del microscopio,1590,Strumento che permette di vedere oggetti troppo piccoli per essere visti ad occhio nudo,Hans e Zacharias Jansen,Paesi Bassi
Invenzione del pacemaker,1958,Dispositivo che regola il battito cardiaco,Wilson Greatbatch,Stati Uniti
"Invenzione del primo calendario di 365 giorni, 12 mesi e 30 giorni",-5000,"Invenzione del primo calendario di 365 giorni, 12 mesi e 30 giorni",,
